;great;trump;president;united;people;states;new;country;american;national;government;house;federal;world;white;state;news;fbi;administration;article;republican;obama;history;best;working;party;presidential;senate;women;help;2016;called;second;team;washington;1;big;war;americans;thank;love;may;win;good;city;election;report;place;fight;huge;j;reserve;2;conference;york;department;political;final;committee;media;debate;important;man;military;largest;men;high;thing;billion;general;public;killed;bad;deliver;university;times;court;story;work;illegal;possible;whether;copy;says;nations;senator;nation;woman;fake;lives;donald;join;strong;hit;million;massive;russia;access;indian;america
great;0;12;16;18;16;14;6;16;8;4;4;8;4;2;8;12;6;2;0;2;8;0;6;6;2;4;2;2;4;6;4;0;0;2;2;2;8;0;4;6;8;0;4;4;0;4;0;6;0;0;4;4;2;0;2;2;0;0;0;0;0;0;2;2;0;4;6;6;0;2;0;0;0;4;0;2;2;2;2;2;2;0;0;0;0;4;0;0;2;0;4;2;2;0;0;2;2;0;2;6
trump;0;0;36;4;4;2;4;2;2;8;0;8;0;0;8;6;6;2;14;0;6;8;0;0;6;2;4;0;4;4;2;6;0;0;6;0;4;0;4;2;2;6;2;0;0;0;6;0;2;0;10;0;0;4;0;6;0;8;2;2;0;0;2;2;0;4;0;0;0;2;4;2;2;0;0;0;0;0;0;2;0;2;6;4;0;2;2;0;0;0;12;2;0;2;0;0;2;0;0;0
president;0;0;0;10;8;8;4;6;2;4;0;12;2;0;12;4;10;2;4;2;2;8;2;0;0;2;0;0;4;4;0;4;4;0;2;2;2;0;6;2;0;6;4;4;0;2;0;2;2;0;4;0;0;4;0;0;0;6;0;4;0;2;0;2;2;4;2;0;0;0;4;2;2;0;0;2;2;0;0;2;0;0;6;4;2;0;4;0;6;2;4;2;2;0;0;0;2;0;0;4
united;0;0;0;0;6;48;6;6;4;4;4;2;0;4;2;4;0;0;4;2;2;4;0;0;2;0;4;0;2;0;4;4;2;2;0;2;2;4;0;4;0;0;0;2;2;4;0;2;2;0;2;0;6;2;2;2;2;0;2;0;0;0;2;4;6;2;4;2;2;4;0;0;0;0;0;0;6;0;0;4;0;2;0;0;6;4;0;0;0;2;2;2;2;0;2;0;2;2;2;2
people;0;0;0;0;0;6;2;10;8;0;2;0;4;6;0;4;4;2;0;2;0;2;0;2;6;2;0;4;0;4;2;0;0;2;2;0;0;0;2;6;4;0;0;4;0;2;0;0;4;0;2;2;0;0;0;0;2;2;2;2;2;0;0;2;0;2;2;2;0;2;0;4;2;2;0;4;0;0;0;4;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2
states;0;0;0;0;0;0;8;6;4;4;4;0;0;4;0;4;0;0;4;2;2;4;0;0;2;0;4;0;2;0;4;4;2;2;0;0;2;4;0;2;0;0;0;2;2;4;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;4;6;2;4;0;2;2;0;0;0;0;0;0;4;0;0;4;0;2;0;0;4;4;0;0;0;2;2;2;2;0;2;0;2;2;2;2
new;0;0;0;0;0;0;0;2;0;4;4;0;4;2;0;4;2;4;2;2;2;0;2;6;2;2;2;2;0;4;2;0;4;0;4;2;0;2;2;0;0;2;4;6;4;0;4;2;0;0;0;0;2;0;14;2;0;0;2;0;0;0;2;0;2;0;4;4;0;0;0;2;0;2;2;4;0;2;2;0;2;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;2;2;0;0
country;0;0;0;0;0;0;0;0;2;0;4;0;0;6;0;0;2;0;0;2;0;2;2;0;4;0;0;6;0;2;0;0;0;0;0;0;2;0;2;4;2;0;0;2;0;4;2;4;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;4;2;2;4;0;2;2;0;0;0;4;4;0;6;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;4;0;2;0;2;0;0;0;2;2;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;6;0;0;0;0;0;0;4;0;2;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;2;0;2;0;0;2
