;united;president;trump;great;new;states;people;news;world;american;national;end;obama;state;party;man;working;government;fake;federal;big;republican;war;media;help;democrats;presidential;called;nothing;administration;department;thank;year;job;russia;house;best;country;city;election;york;white;second;friend;hard;texas;released;thing;supreme;tuesday;killed;donald;asked;americans;republicans;hillary;good;million;death;important;debate;police;weeks;given;security;reports;decision;fbi;court;russian;minnesota;congress;former;written;article;law;political;vote;saturday;work;team;place;think;2016;tax;post;radical;senator;china;monday;senate;michael;justice;considering;fact;latest;worked;trying;carolina;washington
united;0;20;6;6;0;58;4;2;10;8;0;2;4;2;0;4;6;4;0;4;0;0;2;0;2;2;2;2;4;6;0;4;4;0;6;2;2;2;0;0;0;2;2;2;2;0;0;0;2;0;6;0;0;0;0;2;2;0;2;4;0;4;2;2;0;0;4;2;4;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;2;4;4;0;0;0;0;0;2;0;0;0;2;0
president;0;0;24;10;6;18;0;6;4;4;8;6;14;4;0;2;0;2;2;2;2;0;0;2;0;2;8;8;6;4;0;0;4;4;6;0;0;2;0;4;2;0;2;4;0;2;6;2;2;2;0;0;4;2;2;2;4;0;0;2;0;2;4;0;4;2;2;4;0;2;0;0;6;0;0;2;2;0;2;2;0;2;4;6;0;2;4;0;4;2;2;4;2;2;4;2;0;0;0;2
trump;0;0;0;4;4;4;2;6;0;4;8;0;0;0;2;2;2;2;4;0;2;4;4;2;0;8;6;4;6;4;2;0;8;4;6;2;0;0;0;4;0;2;2;0;2;0;6;0;2;2;0;16;6;4;0;2;2;0;2;0;4;0;2;0;6;2;2;2;0;2;2;0;4;0;0;0;0;2;0;2;0;0;0;6;0;6;6;0;4;2;4;6;4;2;0;2;0;2;0;2
great;0;0;0;0;10;8;4;4;2;4;4;4;6;6;0;2;8;2;0;4;4;4;0;2;6;2;0;0;0;6;0;2;4;8;0;2;2;4;0;4;4;2;4;2;8;0;0;4;0;0;0;0;0;4;0;0;2;2;2;4;0;2;0;0;2;0;0;0;0;0;0;2;4;2;0;2;2;0;0;2;0;2;2;2;2;2;0;2;0;0;4;2;0;0;2;0;2;0;0;0
new;0;0;0;0;0;0;4;4;2;2;4;0;2;2;0;0;4;0;2;2;2;0;0;0;0;6;6;4;4;6;6;0;0;2;0;4;0;4;4;0;18;2;2;0;4;2;2;2;0;0;0;0;0;0;2;2;0;4;0;2;2;0;2;0;2;0;0;2;0;2;0;2;4;0;2;2;0;0;4;0;2;2;2;0;0;2;6;0;0;2;0;2;6;0;2;0;0;0;0;0
states;0;0;0;0;0;0;2;2;10;8;0;2;4;2;0;4;4;8;0;8;0;0;2;0;0;2;2;2;4;6;2;2;2;2;6;2;2;2;0;0;0;2;0;2;2;0;0;0;0;0;4;0;0;2;0;2;4;0;2;6;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;2;2;0;2;0;0;2;2;0;0;2;4;4;0;0;0;0;0;2;0;0;0;2;0
people;0;0;0;0;0;0;0;4;2;12;6;8;2;6;2;2;8;2;0;2;2;2;2;0;6;0;0;6;0;0;2;6;0;2;2;0;2;4;0;0;0;0;2;0;8;2;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;2;4;2;0;0;0;0;2;2;2;0;0;0;0;4;2;0;2;0;2;0;0;0;0;0;2;4;2;0;2;0;2;2;2;2;2;0;0
news;0;0;0;0;0;0;0;0;0;0;4;0;4;6;2;0;0;2;30;2;8;2;2;14;0;6;4;2;4;0;0;0;2;0;4;0;0;6;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;6;2;2;0;2;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;4;0;0
world;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;0;0;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;6;2;0;4;2;0;2;0;0;0;0;2;2;2;2;2;0;0;4;2;0;0;0;0;2;0;4;0;4;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;2;0;0;2;2;0;0;4;0;0;2;0;0;0;2;0;4;0;4;0;4;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2
national;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;6;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;4;0;2;0;0;0;0;0;6;4;0;0;0;2;2;0;4;0;0;2;0;2;2;0;0;2;0;4;0;2;0;2;0;2;4;4;0;2;0;2;0;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;2;0;2;0;2;4;0;2;0;0;4;2;0;2;0;2;4;2;2;2;2;0;0;0;4;0;0;0;2;2;4;0;0;0;0;0;4;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;10;0;0;0;0;0;2;2;0;12;0;2;2;2;0;2;0;0;0;2;2;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;2;0;0;6;2;0;4;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;10;0;4;0;0;2;2;4;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;2;4;0;0;6;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;0;4;0;4;2;4;0;0;2;0;0;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;2;0;6;0;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;0;2;2;0;2;0;0;0;2;2;0;8;0;2;2;4;0;4;0;0;4;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;14;0;6;4;2;4;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;6;2;2;0;2;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;4;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;8;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;2;4;2;4;0;2;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;6;0;0;0;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;6;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;2;0;0;2;2;0;6;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;4;2;4;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;2;2;0;4;0;4;2;0;0;2;2;0;0;0;0;0
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;0;0;0;2;0;0;0;6;2;0;0;0;0;2;0;0;2;2;2;2;0;0;4;0;2;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2
